INV No.,UPC,ASIN,LPN,CAT,SUB,Location,Condition,Package Size,NOTES,Sold,Current QTY,QTY's,No in Box,Title,Image Link,Sup Order #,Ship date,Shipped By,Order ID
3146.0,355739628170,,WS0-R2-A,,,WS0-R2-A,BN,Envelope,,,50.0,50.0,2.0,1 x Portable Cigarette Case Classic 12-Piece Carry Box Metal Assorted Design,https://www.augoods.com.au/assets/thumb/MRK-CIGCASE-SML.jpg,,05/08/2024,,
3230.0,355739628194,,,,,WS0-R2-A,BN,Envelope,,,50.0,50.0,4.0,1 x Portable Cigarette Case Classic 20-Piece Carry Box Metal Assorted Design,https://www.augoods.com.au/assets/thumb/MRK-CIGCASE-LRG-ASRTD.jpg,,23/09/2024,,
3052.0,355739628279,,,,,WS0-R2-B,BN,Envelope,,,6.0,6.0,1.0,1 x Portable Metal Cigarette Case Classic 12-Piece Carry Box Assorted Design,https://www.augoods.com.au/assets/thumb/MRK-MTLCIGCASE-SML.jpg,,01/07/2024,,
2694.0,716165177319,,RAW-CL-114-1PK,SMOKING,,WS4-R3-C,BN,,,91.0,909.0,1000.0,1.0,1 x RAW 1 1/4 Papers Classic Natural Unrefined Rolling Smoking 50 Leaves Booklet,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-114-1PK.jpg,,21/02/2025,info.afgretail@gmail.com,"N80116,N80122,N80124,N80125,N80126,N80127,N80128,N80128,N80133,N80142,N80143,N80144,N80145,N80155,N80156,N80157,N80158,N80161,N80164,N80164,N80165,N80167,N80168,N80169,N80171,N80173,N80174,N80176,N80178,N80179,N80182,N80183,N80186,N80187,N80188,N80189,N80190"
3494.0,716165303886,,V10823,,,WS0-R7-A,BN,Envelope,,1.0,23.0,24.0,2.0,1 x RAW Classic Phatty Creaseless Rolling Paper Slow Burning Papers - 32 Leaves,https://www.augoods.com.au/assets/thumb/PWUS-V10823-1PK.jpg,,20/03/2025,info.afgretail@gmail.com,N83166
3281.0,716163038622,,RAW-CL-GLD-114-1PK,,,WS4-R4-B,BN,Envelope,,68.0,182.0,250.0,5.0,"1 x RAW Ethernal 1 1/4 Rolling Papers, Gold Edition (Pack of 50 Leaves)",https://www.augoods.com.au/assets/thumb/PWUS-RAW-CL-GLD-114-1PK.jpg,,21/03/2025,info.afgretail@gmail.com,"N83183,N83191,N83192,N83193,N83194,N83195,N83196,N83205,N83206,N83208,N83211,N83212,N83213,N83217,N83221,N83222,N83225,N83227,N83237,N83239,N83240,N83241,N83243,N83244,N83245,N83248,N83250,N83252,N83253,N83256,N83258,N83258,N83258,N83260,N83262,N83264,N83266,N83268,N83269,N83270,N83271,N83272,N83273,N83282,N83284,N83286,N83289,N83290,N83292,N83293,N83296,N83297,N83299,N83305,N83305,N83305,N83305"
3207.0,716165303879,,RAW-CL-GLD-KSS-1PK,,,WS4-R4-B,BN,Envelope,,18.0,8.0,26.0,4.0,1 x RAW Ethernal King Size Rolling Papers Gold Edition (Pack of 32 Leaves),https://www.augoods.com.au/assets/thumb/PWUS-RAW-CL-GLD-KSS-1PK.jpg,,20/03/2025,info.afgretail@gmail.com,"N83071,N83075,N83076,N83076,N83079,N83086,N83088,N83090,N83093,N83093,N83098,N83099,N83102,N83104,N83106,N83107,N83108,N83110,N83112,N83113,N83114,N83116,N83118,N83125,N83126,N83127,N83128,N83131,N83133,N83134,N83137,N83141,N83143,N83147,N83149,N83150,N83153,N83157,N83158,N83159,N83160,N83161,N83162,N83163,N83165,N83166,N83166,N83166,N83168,N83169,N83170,N83171,N83174,N83178"
3501.0,9310537108799,,,,,WS0-R0-A,BN,Envelope,,,10.0,10.0,2.0,1 X Ventti Rural Super Slim Extra Long Filters 180 Tips Per Bag 2160 filters,https://www.augoods.com.au/assets/thumb/CG-VNTI-RRL-SSEXL-1PK.jpg,,23/03/2025,,
141.0,804552260017,B00K0NXIKG,,Home,Decor,BN2,BN,S,,1.0,0.0,1.0,23.0,"1.5"" Burgundy & Gold Pip Ring 6-Pack Artificial & Dried Floral Decor Gift CWI Gifts",https://images-na.ssl-images-amazon.com/images/I/51h%2Bcls2tfL.jpg,,7/7/2024,info.afgretail@gmail.com,
3245.0,355739628736,,70415,,,R8-B19-S3,BN,Envelope,,5.0,0.0,5.0,999.0,1.6mm 15m Trimer Line Whipper Snipper Cord Wire Brush Cutter Nylon Grass,https://www.augoods.com.au/assets/thumb/CK-70415.jpg,,24/11/2024,info.afgretail@gmail.com,"N70155,N70157,N70160,N70161,N70164,N70166,N70169,N70170,N70171,N70172,N70176,N70178,N70180,N70185,N70186,N70189,N70191,N70195,N70196,N70198,N70200,N70203,N70204,N70207,N70210,N70211,N70215,N70216,N70220,N70221,N70224,N70226,N70229,N70231,N70235,N70237,N70238,N70241,N70242,N70243,N70248,N70249,N70249,N70252,N70253,N70256,N70259,N70267,N70268,N70274,N70275,N70276,N70278,N70279,N70280,N70282,N70286,N70287,N70288,N70290,N70291,N70295,N70300,N70302,N70303,N70307,N70308,N70311,N70312,N70313,N70314,N70315,N70317,N70321,N70323,N70329,N70330,N70332,N70333,N70335,N70336,N70337,N70341,N70343,N70345,N70347"
3279.0,355739628460,,73103,,,R3-B3-S4,BN,Envelope,,12.0,0.0,12.0,999.0,1.9m Warm White Indoor LED Fairy Lights 2*AA Battery Operated Christmas Decoration,https://www.augoods.com.au/assets/thumb/JT-FRYLIT-WRMWTE.jpg,,24/03/2025,info.afgretail@gmail.com,"N83392,N83408,N83486,N83522,N83526,N83531,N83533,N83537,N83541,N83542,N83545,N83548,N83549,N83550,N83550,N83551,N83555,N83557,N83559,N83561,N83564,N83565,N83567,N83569,N83570,N83573,N83575,N83579,N83580,N83585,N83586,N83587,N83588,N83592,N83592,N83594,N83595,N83596,N83601,N83602,N83604,N83608,N83609,N83620,N83622,N83630,N83631,N83636,N83639,N83641"
1110.0,804552750013,B00K0NW87K,,Home,Decor,BN26,BN,Letter,,1.0,0.0,1.0,24.0,"1"" Colonial Mini Pip Berry Ring 6-Pack Artificial & Floral Decor Gift CWI Gifts",https://images-na.ssl-images-amazon.com/images/I/416dsgCN4LL.jpg,,28/7/2024,info.afgretail@gmail.com,
1452.0,804552704504,B00K0NW9QA,,Home,Decor,BN37,BN,Letter,,1.0,0.0,1.0,23.0,"1"" Primitive Mix Mini Pip Berry Floral Ring 6Pc Christmas Decoration - CWI Gifts",https://images-na.ssl-images-amazon.com/images/I/51T45qg8jdL.jpg,,4/8/2024,info.afgretail@gmail.com,
2322.0,9360117003235,4000001934,hy-seboxp,VAC PARTS,,R8-B14-S2,BN,S,,20.0,10.0,30.0,1.0,"10 Bags for SEBO X4/X5/X7, XP1/2/3, XP10/XP20/XP30, C3.1, G1/G2, 370/470",https://www.augoods.com.au/assets/thumb/HG-9360117003235.jpg,,24/11/2024,info.afgretail@gmail.com,N70325
2740.0,93243315,,VNTI-REDPPR-10PK,SMOKING,,WS3-R4-C,BN,,,99.0,899.0,998.0,4.0,10 Packs x Ventti Original Papers Slow Burn RYO Red (60 Leaves Per Booklet),https://www.augoods.com.au/assets/thumb/MRK-VNTI-REDPPR-10PK.jpg,,28/03/2025,info.afgretail@gmail.com,N84114
3378.0,355739629757,,2*hy-hovb5,VAC PARTS,,R1-B12-S5,BN,O,,10.0,10.0,20.0,425.0,"10 Vacuum Dust Bags for Hoover, AIRFLO, CASCADE, ELECTROLUX & More Smart Aura, Mode, Allergy Vacuum Cleaner",https://www.augoods.com.au/assets/thumb/HG-hy-hovb5-2PK.jpg,1,26/03/2025,info.afgretail@gmail.com,N83802
2482.0,9360117002764,,hy-vbvax10,VAC PARTS,,R4-B5-S0,BN,S,,30.0,0.0,30.0,999.0,10 X BAGS FOR VAX CANISTER SHAMPOO VACUUM CLEANER WET & DRY WASH & DRY,https://www.augoods.com.au/assets/thumb/HG-9360117002764.jpg,1,24/01/2024,info.afgretail@gmail.com,N45209
2366.0,9360117002511,4000001709,se-bagurs,VAC PARTS,,R8-B12-S4,BN,S,,14.0,8.0,22.0,1.0,10 x Fabric Vacuum Bags for Sebo K Series,https://www.augoods.com.au/assets/thumb/HG-9360117002511.jpg,,07/02/2025,info.afgretail@gmail.com,N78664
2392.0,9360117001125,,pa-bag,VAC PARTS,,R8-B17-S4,BN,S,,14.0,0.0,14.0,999.0,10 x Paper Dust Bags for Pacvac Superpro 700 Series,https://www.augoods.com.au/assets/thumb/HG-9360117001125.jpg,1,17/01/2024,gabrieladitya2803@gmail.com,"N44985,N44991,N44993"
2464.0,bg-sauber*10,,2*bg-sauber,VAC PARTS,,R8-B11-S5,BN,M,,45.0,7.0,52.0,2.0,"10 X Sauber Intelligence, Classic and Excellence Synthetic Vacuum Bags",https://cdn11.bigcommerce.com/s-dw545iuzjv/images/stencil/500x659/products/396/1396/sauber-bags-web-10pk__24502__80794.1677208590.jpg?c=1,1,14/11/2024,gabrieladitya2803@gmail.com,
2312.0,9360117001132,,PV-BAG10S,VAC PARTS,,R8-B16-S1,BN,S,,9.0,0.0,9.0,999.0,10 x Synthetic Bags for Pacvac Superpro 700 Series,https://www.augoods.com.au/assets/thumb/HG-9360117001132.jpg,1,24/03/2024,info.afgretail@gmail.com,N47173
3288.0,9327329014053,,,,,WS2-R5-B,BN,Envelope,,,3.0,3.0,2.0,10 X Tally-Ho Micro Slim Orange Filter Tips Paper - Full Box 1400 Tips Total,https://www.augoods.com.au/assets/thumb/CG-TLYHO-ORG-10PK.jpg,,29/10/2024,,
3000.0,0070330512078-5P,,,,,R8-B10-S1,BN,Envelope,,,500.0,500.0,1.0,"10 x Tipp-Ex Mini Pocket Mouse Plastic Tape- High-Quality, 6 m, White",https://www.augoods.com.au/assets/thumb/JT-0070330512078-5P.jpg,,16/06/2024,,
2504.0,9360117002931,,hy-hovb10s,VAC PARTS,,R1-B12-S5,BN,M,,1.0,300.0,301.0,1.0,"10 X Vacuum Bags for Hoover, AIRFLO, CASCADE, ELECTROLUX & More ",https://cdn11.bigcommerce.com/s-dw545iuzjv/images/stencil/1280x1280/products/226/766/AF1025S-2__04563__03553.1677637388.jpg?c=1?imbypass=on,,15/01/2025,info.afgretail@gmail.com,N76243
2357.0,9360117003631,,nu-vb10,VAC PARTS,,R1-B12-S7,BN,S,,79.0,0.0,79.0,999.0,"10 x Vacuum Bags for Numatic Charles, Henry, George, James & More",https://www.augoods.com.au/assets/thumb/HG-9360117003631.jpg,1,01/04/2024,gabrieladitya2803@gmail.com,"N47470,N47479,N47515,N47521,N47524,N47539,N47569,N47579,N47588,N47597,N47605,N47611,N47480,N47489,N47498,N47507,N47513,N47516,N47531,N47534,N47540,N47549,N47571,N47589,N47598,N47606,N47615,N47624,N47466,N47481,N47490,N47535,N47541,N47560,N47572,N47575,N47581,N47599,N47607,N47613,N47622,N47631,N47640,N47467,N47476,N47482,N47494,N47500,N47509,N47518,N47536,N47542,N47561,N47573,N47576,N47591,N47600,N47617,N47623,N47626,N47641,N47644,N47649,N47477,N47492,N47504,N47528,N47537,N47546,N47552,N47555,N47577,N47586,N47592,N47618,N47636,N47645,N47478,N47496,N47505,N47511,N47514,N47529,N47538,N47568,N47578,N47584,N47604,N47610,N47637,N47643,N47646"
2544.0,9360117003532,,ro-bgmaxv,VAC PARTS,,R8-B14-S3,BN,S,,4.0,1.0,5.0,1.0,"10 X Vacuum Bags For Roborock S7 MaxV Ultra, Q7 Max+, S8+ & S8 Pro Ultra",https://www.augoods.com.au/assets/thumb/HG-9360117003532.jpg,,21/01/2024,info.afgretail@gmail.com,N45126
3280.0,355739629580,,MRKPLNLTR-BOX-2PK,,,WS6-R8-C,BN,O,,,100.0,100.0,2.0,100 x Disposable Cigarette Lighters Durable Good Quality Bulk Assorted Colours (MRK),https://www.augoods.com.au/assets/thumb/MRK-MRKPLNLTR-BOX-2PK.jpg,,23/10/2024,,
3050.0,355739628507,,19609-2PK,,,R2-B4-S3,BN,Envelope,,2.0,8.0,10.0,3.0,100-Pack Rainbow Flag Toothpicks Tooth Pick Gay Pride LGBTQ+ Cocktail Cupcakes Party Fun,https://www.augoods.com.au/assets/thumb/JD-19609-2PK.jpg,,21/11/2024,gabrieladitya2803@gmail.com,N69929
3214.0,MEMPHIS-CFTUBES-10PK,,,,,WS4-R0,BN,O,,,11.0,11.0,3.0,1000 Memphis Premium Charcoal Filter Tubes King Size Cork Tobacco Cigarette Blue,https://www.augoods.com.au/assets/thumb/MRK-MEMPHIS-CFTUBES-10PK.jpg,,17/09/2024,,
2934.0,9360117002672,,ph-air1000kit,,,R8-B15-S2,BN,M,,12.0,5.0,17.0,5.0,1000 Series Carbon & HEPA Filters Kit For Philips Air Purifiers FY1413/FY1410,https://www.augoods.com.au/assets/thumb/HG-9360117002672.jpg,,24/03/2025,info.afgretail@gmail.com,N83581
3152.0,5903240799985,,,,,WS9-R0,BN,O,,4.0,96.0,100.0,2.0,1000 x Dark Horse Carbon Filter Tubes King Size Cork Tobacco Empty Kingsize Cigarette Tube,https://www.augoods.com.au/assets/thumb/XN-DRKHRSE-CRBNTUBES-10PK.jpg,,14/03/2025,info.afgretail@gmail.com,"N82369,N82392,N82393,N82394,N82398,N82399,N82400,N82401,N82407,N82417,N82420,N82433,N82435,N82439,N82440,N82441,N82446,N82446,N82448,N82450,N82452,N82453,N82455,N82459,N82465,N82466,N82467,N82473,N82476,N82478,N82479"
3293.0,DRKHRSE-YLWTUBES-10PK,,,,,WS9-R0,BN,O,,,40.0,40.0,4.0,1000 x Dark Horse Extra Long 24mm Filter Tubes King Size Tobacco Empty Cigarette,https://www.augoods.com.au/assets/thumb/XN-DRKHRSE-YLWTUBES-10PK.jpg,,03/11/2024,,
3335.0,5902047178955,,,,,WS7-R0-A,BN,O,,15.0,25.0,40.0,3.0,1000x Dark Horse Slim Filter Tubes Extra Long Cork Tobacco Cigarette Tube,https://www.augoods.com.au/assets/thumb/XN-DRKHRSE-SLMTUBES-10PK.jpg,,27/03/2025,info.afgretail@gmail.com,N84020
3507.0,VNTI-MTHLTUBES-10PK,,,,,WS5-R0,BN,O,,,150.0,150.0,2.0,1000x Ventti Menthol Filter Tubes Cork Tobacco Cigarette Green,https://www.augoods.com.au/assets/thumb/MRK-VNTI-MTHLTUBES-10PK.jpg,,24/03/2025,,
3275.0,VNTI-CFTUBES-10PK,,,,,WS3-R0,BN,O,,,50.0,50.0,3.0,1000x Ventti Premium Charbon Filter Tubes Cork Tobacco Cigarette Blue,https://www.augoods.com.au/assets/thumb/MRK-VNTI-CFTUBES-10PK.jpg,,20/10/2024,,
2667.0,PPEFILT-20PK,,PPEFILT-20PK,SMOKING,,WS2-R8-B,BN,,,,200.0,1000.0,3.0,100PCS Mesh Silver Screens Stainless Steel Metal Pipe - Screen Mesh Filter,https://www.augoods.com.au/assets/thumb/MRK-PPEFILT-20PK.jpg,,,,
967.0,844660076223,,,Electronics,Cables,BN21,BN,Letter,,1.0,0.0,1.0,40.0,"10Gb Fiber Optic Cable, LC/LC, Multi Mode, Duplex - 15 Meter (50/125 Type) - Aqua -MONOPRICE 7622 Cord",https://i.ebayimg.com/images/g/-vgAAOSw8-5e83uH/s-l1600.jpg,,24/7/2024,info.afgretail@gmail.com,
222.0,65030827096,,,,,BN6,BN,S,,1.0,0.0,1.0,10.0,10m 10 Gb Aqua Duplex LSZH Fiber Patch Cable LC-LC - StarTech.com - A50FBLCLC10,https://www.hippo-deals.com/products-images/1500/669300.jpg,,8/7/2024,info.afgretail@gmail.com,
3516.0,8809244352041,,PP-11CM-WD-1PK,,,WS3-R5-A,BN,Envelope,,1.0,49.0,50.0,991.0,11.2cm Brass Metal Pipe Wooden Handle Smoking Tobacco Herbs,https://www.augoods.com.au/assets/thumb/XN-PP-11CM-WD-1PK.jpg,,28/03/2025,info.afgretail@gmail.com,N84045
1358.0,804552703439,B006LO4TPG,,Home,Decor,BN33,BN,Letter,,1.0,0.0,1.0,8.0,"11"" Country Mixed Wispy Pip Floral Teardrop 3Pc Christmas Decor - CWI Gifts",https://images-na.ssl-images-amazon.com/images/I/51paOxDU9oL.jpg,,31/7/2024,info.afgretail@gmail.com,
2954.0,355739626381,,79971,,,WS5-R8-B,BN,s,,4.0,96.0,100.0,2.0,12 Pack Wildtrak Magic Fire Colour Changing Dust Flames Campfire 15g,https://www.augoods.com.au/assets/thumb/JT-MAGICFIRE-12PK.jpg,,06/02/2025,info.afgretail@gmail.com,
2976.0,355739626817,,,,,R8-B19-S1,BN,S,,,100.0,100.0,2.0,12 Reusable Curved Silicone Straws with 2 Cleaning Brushes Assorted Colours,https://www.augoods.com.au/assets/thumb/CHN-CURVESTRAW-12PK.jpg,,09/06/2024,,
2962.0,355739626824,,,,,R8-B19-S1,BN,,,,200.0,200.0,1.0,12 Reusable Straight Silicone Straws with 2 Cleaning Brushes Assorted Colours,https://www.augoods.com.au/assets/thumb/CHN-STRAIGHTSTRAW-12PK.jpg,,06/06/2024,,
2422.0,bg-fjm12,744109425899,bg-fjm12,VAC PARTS,,R8-B12-S1,BN,S,,15.0,2.0,17.0,1.0,"12 x Miele Vacuum Cleaner Dust Bags, FJM Type, Synthetic High Quality",https://www.augoods.com.au/assets/thumb/HG-744109425899.png?20230816080317&1692153097482,,19/11/2024,gabrieladitya2803@gmail.com,
2444.0,9360117001156,,bg-gn12,VAC PARTS,,R0-B3-S0,BN,S,,15.0,0.0,15.0,999.0,"12 X Miele Vacuum Cleaner Dust Bags, GN Type, Synthetic, High Quality",https://www.augoods.com.au/assets/thumb/HG-9360117001156.jpg,,19/12/2023,info.afgretail@gmail.com,N43935
3145.0,355739628033,,vb-vk150,VAC PARTS,,R8-B12-S1,BN,O,,4.0,3.0,7.0,4.0,"12 x Replacement Dust Bags + Air Fresheners Vorwerk Kobold VK140,LUX VK140,VK150",https://www.augoods.com.au/assets/thumb/HG-vb-vk150.jpg,,24/01/2025,info.afgretail@gmail.com,N77286
2435.0,9360117003105,,vb-roomba-12,VAC PARTS,,R8-B15-S1,BN,M,,6.0,1.0,7.0,1.0,"12 X vacuum bags for iRobot Roomba i3+, i7+ and s9+ robot vacuum cleaners",https://www.augoods.com.au/assets/thumb/HG-9360117003105.jpg,,18/12/2023,info.afgretail@gmail.com,N43903
3341.0,355739628804,,13264,,,R3-B2-S4,BN,Envelope,,15.0,8.0,23.0,66.0,150x90cm Skull and Crossbones Jolly Roger Pirate Flag Outdoor Banner Crossed,https://www.augoods.com.au/assets/thumb/JD-13264-1PK.jpg,,04/03/2025,info.afgretail@gmail.com,N81349
1454.0,844660006671,b0018mhpjs,,Electronics,Cables,BN37,BN,Letter,,1.0,0.0,1.0,25.0,15cm 3.5mm Stereo Plug/Two 3.5mm Stereo Jack Audio Splitter Adapter -Monoprice 100667,https://images-na.ssl-images-amazon.com/images/I/31rjilcdxJL.jpg,,4/8/2024,info.afgretail@gmail.com,
3345.0,9360117003747,,hy-bagesile-16,VAC PARTS,,R1-B12-S5,BN,O,,5.0,0.0,5.0,402.0,"16 x Dust Bags for Electrolux UltraOne, UltraSilencer & Powerforce Range",https://www.augoods.com.au/assets/thumb/HG-9360117003747.jpg,1,12/01/2025,info.afgretail@gmail.com,
1295.0,190133534951,b016wyjv9i,,Kitchen,Tabletop,BN30,BN,M,,1.0,0.0,1.0,14.0,"1947 American Classic - Personalized Birth Year Birthday Gift - Black Grunge Vintage Look - Funny - Travel Mug, 414 ml 14oz, Stainless Steel 3dRose",https://images-na.ssl-images-amazon.com/images/I/71fZos6voNL.jpg,,30/7/2024,info.afgretail@gmail.com,
2982.0,SNFSPN-GLD,,,,,WS2-R4-B,BN,Envelope,,,30.0,30.0,3.0,1X Gold Snuff Spoon Micro Spoon Spatula Spoon Stainless Steel Scoop Antique,https://www.augoods.com.au/assets/thumb/XN-SNFSPN-GLD.jpg,,11/06/2024,,
2966.0,SNFSPN-CUTTER-1PK,,,,,WS2-R5-B,BN,,,40.0,0.0,40.0,999.0,1X Metal Snuff Tube Sniffer Pipe Cutter Rocket Portable - Gold or Silver,https://www.augoods.com.au/assets/thumb/XN-SNFSPN-CUTTER-1PK.jpg,,28/03/2025,info.afgretail@gmail.com,
